poet_last,poet_first,poet_mid1,poet_mid2,poet_mid3,poet_title,poet_gndr,poet_id
Adams,Sarah,Flower,NA,NA,NA,F,170
Addleshaw,Percy,NA,NA,NA,NA,M,171
Aïdé,Hamilton,NA,NA,NA,NA,M,172
Aird,Thomas,NA,NA,NA,NA,M,173
Alexander,Cecil,Frances,NA,NA,NA,M,174
Alford,Henry,NA,NA,NA,NA,M,175
Allingham,William,NA,NA,NA,NA,M,57
Anderson,Alexander,NA,NA,NA,NA,M,80
Anonymous,NA,NA,NA,NA,NA,U,35
Arnold,Edwin,NA,NA,NA,Sir,M,176
Arnold,Matthew,NA,NA,NA,NA,M,7
Ashby-Sterry,Joseph,NA,NA,NA,NA,M,177
Ashe,Thomas,NA,NA,NA,NA,M,36
Austin,Alfred,NA,NA,NA,NA,M,14
Aytoun,William,Edmondstoune,NA,NA,NA,M,178
Bailey,Philip,James,NA,NA,NA,M,179
Ballantine,James,NA,NA,NA,NA,M,180
Banim,John,NA,NA,NA,NA,M,181
Barham,Richard,Harris,NA,NA,NA,M,182
Baring-Gould,Sabine,NA,NA,NA,NA,M,23
Barlow,George,NA,NA,NA,NA,M,183
Barlow,Jane,NA,NA,NA,NA,F,83
Barnes,William,NA,NA,NA,NA,M,42
Bayly,Thomas,Haynes,NA,NA,NA,M,184
Beatty,Pakenham,NA,NA,NA,NA,M,185
Beddoes,Thomas,Lovell,NA,NA,NA,M,84
Beeching,Henry,Charles,NA,NA,NA,M,186
Bell,Mackenzie,NA,NA,NA,NA,M,187
Bennett,William,Cox,NA,NA,NA,M,188
Benson,Arthur,Christopher,NA,NA,NA,M,189
Blackie,John,Stuart,NA,NA,NA,M,190
Blackwood,Helen,Selina,NA,NA,Lady Dufferin,F,191
Blaikie,John,Arthur,NA,NA,NA,M,192
Blanchard,Laman,NA,NA,NA,NA,M,193
Bland,Edith,Nesbit,NA,NA,NA,F,194
Blew,William,John,NA,NA,NA,M,195
Blind,Mathilde,NA,NA,NA,NA,F,91
Blunt,Wilfrid,Scawen,NA,NA,NA,M,196
Bonar,Horatius,NA,NA,NA,NA,M,197
Bourdillon,Francis,William,NA,NA,NA,M,198
Bowring,John,NA,NA,NA,Sir,M,199
Bridges,Robert,Seymour,NA,NA,NA,M,70
Brontë,Anne,NA,NA,NA,NA,F,52
Brontë,Emily,NA,NA,NA,NA,F,5
Brooke,Stopford,Augustus,NA,NA,NA,M,200
Brough,Robert,Barnabas,NA,NA,NA,M,201
Brown,Ford,Madox,NA,NA,NA,M,202
Brown,Oliver,Madox,NA,NA,NA,M,203
Browning,Elizabeth,Barrett,NA,NA,NA,F,2
Browning,Robert,NA,NA,NA,NA,M,4
Buchanan,Robert,NA,NA,NA,NA,M,418
Bulwer-Lytton,Robert,NA,NA,NA,1st earl of Lytton,M,205
Burbidge,Thomas,NA,NA,NA,NA,M,206
Byron,Mary,C.,G.,NA,NA,F,207
Call,Wathen,Mark,Wilks,NA,NA,M,208
Calverley,Charles,Stuart,NA,NA,NA,M,209
Cameron,George,Frederick,NA,NA,NA,M,210
Campbell,William,Wilfred,NA,NA,NA,M,211
Canton,William,NA,NA,NA,NA,M,95
Carlyle,Jane,Welsh,NA,NA,NA,F,212
Carlyle,Thomas,NA,NA,NA,NA,M,213
Carman,Bliss,NA,NA,NA,NA,M,214
Carnegie,James,NA,NA,NA,9th Earl of Southesk,M,377
Carroll,Lewis,NA,NA,NA,NA,M,66
Castilla,Ethel,NA,NA,NA,NA,F,215
Clarke,Herbert,Edwin,NA,NA,NA,M,216
Clephane,Elizabeth,Cecilia,NA,NA,NA,F,217
Clough,Arthur,Hugh,NA,NA,NA,M,6
Coleridge,Hartley,NA,NA,NA,NA,M,97
Coleridge,Sara,NA,NA,NA,NA,F,218
Collins,Mortimer,NA,NA,NA,NA,M,60
Cook,Eliza,NA,NA,NA,NA,F,219
Cooper,Thomas,NA,NA,NA,NA,M,220
Cory,William,Johnson,NA,NA,NA,M,99
Cotterell,George,NA,NA,NA,NA,M,222
Courthope,William,John,NA,NA,NA,M,223
Craigmyle,Elizabeth,NA,NA,NA,NA,F,224
Craik,Dinah,Maria,Mulock,NA,NA,F,225
Crane,Walter,NA,NA,NA,NA,M,226
Crawford,Isabella,Valancey,NA,NA,NA,F,227
Crawford,Louisa,Macartney,NA,NA,NA,F,228
Custance,Olive,NA,NA,NA,NA,F,229
Darley,George,NA,NA,NA,NA,M,230
Davidson,John,NA,NA,NA,NA,M,27
Davis,Thomas,Osborne,NA,NA,NA,M,231
Dawson,William,James,NA,NA,NA,M,232
De Vere,Aubrey,Thomas,NA,NA,NA,M,233
Disraeli,Benjamin,NA,NA,NA,1st earl of Beaconsfield,M,234
Dixon,Richard,Watson,NA,NA,NA,M,100
Dobell,Sydney,NA,NA,NA,NA,M,58
Dobson,Austin,NA,NA,NA,NA,M,235
Domett,Alfred,NA,NA,NA,NA,M,101
Dowden,Edward,NA,NA,NA,NA,M,69
Dowling,Bartholomew,NA,NA,NA,NA,M,236
Downing,Ellen,Mary,Patrick,NA,NA,F,237
Doyle,Francis,Hastings,NA,NA,NA,M,238
Duffy,Charles,Gaban,NA,NA,NA,M,239
Dutt,Toru,NA,NA,NA,NA,F,240
Edmeston,James,NA,NA,NA,NA,M,241
Eliot,George,NA,NA,NA,NA,F,51
Elliot,Charlotte,NA,NA,NA,Lady,F,242
Elliott,Charlotte,NA,NA,NA,NA,F,243
Elliott,Ebenezer,NA,NA,NA,NA,M,102
Evans,Sebastian,NA,NA,NA,NA,M,104
Faber,Frederick,William,NA,NA,NA,M,244
Fane,Violet,NA,NA,NA,NA,F,245
Ferguson,Samuel,NA,NA,NA,Sir,M,246
Field,Michael,NA,NA,NA,NA,F,20
FitzGerald,Edward,NA,NA,NA,NA,M,247
Fox,William,Johnson,NA,NA,NA,M,248
Gale,Norman,NA,NA,NA,NA,M,249
Garnett,Richard,NA,NA,NA,NA,M,250
Gilbert,William,Schwenck,NA,NA,NA,M,251
Gilfillan,Robert,NA,NA,NA,NA,M,252
Gill,Frances,Tyrrell,NA,NA,NA,F,253
Gillington,Alice,E.,NA,NA,NA,F,254
Goodchild,John,Arthur,NA,NA,NA,M,255
Gordon,Adam,Lindsay,NA,NA,NA,M,256
Gosse,Edmund,William,NA,NA,NA,M,257
Graves,Alfred,Perceval,NA,NA,NA,M,258
Gray,David,NA,NA,NA,NA,M,106
Greenwell,Dora,NA,NA,NA,NA,F,54
Griffin,Gerald,NA,NA,NA,NA,M,259
Hake,Thomas,Gordon,NA,NA,NA,M,108
Hall,Christopher,Newman,NA,NA,NA,M,260
Hallam,Arthur,Henry,NA,NA,NA,M,261
Hamerton,Philip,Gilbert,NA,NA,NA,M,262
Hanmer,John,NA,NA,NA,Lord,M,264
Harpur,Charles,NA,NA,NA,NA,M,265
Harrison,S.,Frances,NA,NA,NA,F,266
Hartley,John,NA,NA,NA,NA,M,267
Havergal,Frances,Ridley,NA,NA,NA,F,22
Hawker,Robert,Stephen,NA,NA,NA,M,111
Heavysege,Charles,NA,NA,NA,NA,M,268
Hervey,Thomas,Kibble,NA,NA,NA,M,269
Hickey,Emily,Henrietta,NA,NA,NA,F,270
Hinkson,Katharine,Tynan,NA,NA,NA,F,271
Home,F.,Wyville,NA,NA,NA,M,272
Hood,Thomas,NA,NA,NA,NA,M,41
Horne,Herbert,P.,NA,NA,NA,M,273
Horne,Richard,Hengist,NA,NA,NA,M,274
Howitt,Mary,NA,NA,NA,NA,F,112
Howitt,William,NA,NA,NA,NA,M,275
Hunter-Duvar,John,NA,NA,NA,NA,M,276
Huxley,Thomas,Henry,NA,NA,NA,M,277
Image,Selwyn,NA,NA,NA,NA,M,278
Ingelow,Jean,NA,NA,NA,NA,F,53
Ingram,John,Kells,NA,NA,NA,M,279
Jameson,Anna,Brownell,NA,NA,NA,F,280
Japp,Alexander,Hay,NA,NA,NA,M,281
Johnson,E.,Pauline,NA,NA,NA,F,282
Jones,Ebenezer,NA,NA,NA,NA,M,115
Jones,Ernest,Charles,NA,NA,NA,M,116
Joyce,Robert,Dwyer,NA,NA,NA,M,283
Keble,John,NA,NA,NA,NA,M,284
Kelly,Mary,Eva,NA,NA,NA,F,285
Kemble,Frances,Anne,NA,NA,NA,F,286
Kendall,Henry,Clarence,NA,NA,NA,M,287
Kendall,May,NA,NA,NA,NA,F,28
Kent,Charles,NA,NA,NA,NA,M,288
Kenyon,John,NA,NA,NA,NA,M,289
King,Harriet,Eleanor,NA,Hamilton,NA,F,117
Kingsley,Charles,NA,NA,NA,NA,M,118
Kipling,Rudyard,NA,NA,NA,NA,M,30
Knox,Isa,Craig,NA,NA,NA,F,290
Laing,Alexander,NA,NA,NA,NA,M,291
Lampman,Archibald,NA,NA,NA,NA,M,292
Landor,Walter,Savage,NA,NA,NA,M,37
Lang,Andrew,NA,NA,NA,NA,M,293
Langhorne,Charles,Hartley,NA,NA,NA,M,294
Laycock,Samuel,NA,NA,NA,NA,M,295
Le Gallienne,Richard,NA,NA,NA,NA,M,296
Lear,Edward,NA,NA,NA,NA,M,48
Lee-Hamilton,Eugene,NA,NA,NA,NA,M,19
Lefroy,Edward,Cracroft,NA,NA,NA,M,297
Leighton,Robert,NA,NA,NA,NA,M,121
Levy,Amy,NA,NA,NA,NA,F,29
Liddell,Catherine,C.,NA,NA,NA,F,298
Lindsay,Elizabeth,Blanche,NA,NA,Lady,F,299
Linton,William,James,NA,NA,NA,M,300
Little,Lizzie,M.,NA,NA,NA,F,301
Locker-Lampson,Frederick,NA,NA,NA,NA,M,123
Logan,John,E.,NA,NA,NA,M,302
Lover,Samuel,NA,NA,NA,NA,M,303
Lowe,Robert,Robert,NA,NA,Viscount Sherbrooke,M,304
Lyall,Alfred,Comyns,NA,NA,Sir,M,124
Lyte,Henry,Francis,NA,NA,NA,M,125
Lytton,Edward,Bulwer,NA,NA,1st Baron Lytton,M,204
Macaulay,Thomas,Babington,NA,NA,1st Baron,M,1
MacCarthy,Denis,Florence,NA,NA,NA,M,305
Macdonald,Frederika,Richardson,NA,NA,NA,F,307
Macdonald,George,NA,NA,NA,NA,M,308
MacDonald,Elizabeth,Gostwycke,Roberts,NA,NA,F,306
Mackail,John,William,NA,NA,NA,M,309
Mackay,Charles,NA,NA,NA,NA,M,310
Mackay,Eric,NA,NA,NA,NA,M,311
Maginn,William,NA,NA,NA,NA,M,312
Mahony,Francis,Sylvester,NA,NA,NA,M,313
Mair,Charles,NA,NA,NA,NA,M,314
Mangan,James,Clarence,NA,NA,NA,M,130
Marston,John,Westland,NA,NA,NA,M,315
Marston,Philip,Bourke,NA,NA,NA,M,131
Martin,Arthur,Patchett,NA,NA,NA,M,316
Martineau,Harriet,NA,NA,NA,NA,F,317
Marzials,Frank,T.,NA,NA,NA,M,318
Marzials,Théophile,Julius,Henri,NA,NA,M,319
Massey,Gerald,NA,NA,NA,NA,M,62
McCrae,George,Gordon,NA,NA,NA,M,320
McGee,Thomas,D’Arcy,NA,NA,NA,M,321
Meredith,George,NA,NA,NA,NA,M,9
Merivale,Herman,Charles,NA,NA,NA,M,322
Meynell,Alice,NA,NA,NA,NA,F,71
Miller,Hugh,NA,NA,NA,NA,M,323
Miller,Thomas,NA,NA,NA,NA,M,133
Miller,William,NA,NA,NA,NA,M,324
Milman,Henry,Hart,NA,NA,NA,M,325
Milnes,Richard,Monckton,NA,NA,1st Baron Houghton,M,326
Mitford,John,NA,NA,NA,NA,M,327
Moir,David,Macbeth,NA,NA,NA,M,328
Monkhouse,Cosmo,NA,NA,NA,NA,M,135
Monsell,John,Samuel,Bewley,NA,NA,M,329
Montgomery,Eleanor,NA,NA,NA,NA,F,330
Montgomery,James,NA,NA,NA,NA,M,331
Moodie,Susanna,Strickland,NA,NA,NA,F,332
Morris,Lewis,NA,NA,NA,Sir,M,333
Morris,William,NA,NA,NA,NA,M,13
Mulholland,Rosa,NA,NA,NA,NA,F,334
Munby,Arthur,Joseph,NA,NA,NA,M,63
Murray,George,NA,NA,NA,NA,M,335
Myers,Ernest,NA,NA,NA,NA,M,336
Myers,Frederic,William,Henry,NA,NA,M,337
Naden,Constance,C.,W.,NA,NA,F,137
Newman,John,Henry,NA,NA,NA,M,338
Nichol,John,NA,NA,NA,NA,M,339
Nichols,John,Bowyer,Buchanan,NA,NA,M,340
Nicoll,Robert,NA,NA,NA,NA,M,341
Noel,Roden,Berkeley,Wriothesley,NA,NA,M,342
Norton,Caroline,Elizabeth,Sarah,NA,NA,F,46
O’Leary,Ellen,NA,NA,NA,NA,F,343
O’Shaughnessy,Arthur,William,Edgar,NA,NA,M,344
Palgrave,Francis,Turner,NA,NA,NA,M,345
Parker,Gilbert,NA,NA,NA,Sir,M,346
Parnell,Frances,Isabel,NA,NA,NA,F,347
Patmore,Coventry,Kersey,Dighton,NA,NA,M,56
Paton,Joseph,Noel,NA,NA,Sir,M,348
Payne,John,NA,NA,NA,NA,M,349
Peacock,Thomas,Love,NA,NA,NA,M,350
Pfeiffer,Emily,NA,NA,NA,NA,F,142
Pollock,Frederick,NA,NA,NA,Sir,M,351
Pollock,Walter,Herries,NA,NA,NA,M,352
Praed,Winthrop,Mackworth,NA,NA,NA,M,353
Probyn,May,NA,NA,NA,NA,F,354
Procter,Adelaide,Anne,NA,NA,NA,F,8
Procter,Bryan,Waller,NA,NA,NA,M,221
Quiller-Couch,Arthur,Thomas,NA,NA,Sir,M,355
Radford,Dollie,NA,NA,NA,NA,F,146
Rands,William,Brighty,NA,NA,NA,M,147
Rhys,Ernest,NA,NA,NA,NA,M,356
Roberts,Charles,Douglas,George,NA,Sir,M,357
Robinson,A.,Mary,F.,NA,NA,F,358
Rodd,Rennell,NA,NA,NA,NA,M,359
Ropes,Arthur,Reed,NA,NA,NA,M,360
Roscoe,William,Caldwell,NA,NA,NA,M,150
Rossetti,Christina,Georgina,NA,NA,NA,F,11
Rossetti,Dante,Gabriel,NA,NA,NA,M,10
Rosslyn,Robert,Francis,St.Clair,Erskine,Earl of Rosslyn,M,361
Ruskin,John,NA,NA,NA,NA,M,362
Russell,George,William,NA,NA,NA,M,152
Russell,Percy,NA,NA,NA,NA,M,363
Savage-Armstrong,George,Francis,NA,NA,NA,M,364
Schuyler-Lighthall,William,Douw,NA,NA,NA,M,365
Scott,Clement,William,NA,NA,NA,M,366
Scott,Duncan,Campbell,NA,NA,NA,M,367
Scott,Frederick,George,NA,NA,NA,M,368
Scott,William,Bell,NA,NA,NA,M,154
Shairp,John,Campbell,NA,NA,NA,M,369
Shanly,Charles,Dawson,NA,NA,NA,M,370
Sharp,William,NA,NA,NA,NA,M,371
Sigerson,Dora,NA,NA,NA,NA,F,372
Simmons,Bartholomew,NA,NA,NA,NA,M,373
Sinnett,Percy,F.,NA,NA,NA,M,374
Skipsey,Joseph,NA,NA,NA,NA,M,156
Sladen,Douglas,B.,W.,NA,NA,M,375
Smedley,Menella,Bute,NA,NA,NA,F,157
Smith,A.,C.,NA,NA,NA,M,376
Smith,Alexander,NA,NA,NA,NA,M,158
Smith,Walter,C.,NA,NA,NA,M,159
Stanley,Arthur,Penrhyn,NA,NA,NA,M,378
Stephen,James,Kenneth,NA,NA,NA,M,379
Stephens,James,Brunton,NA,NA,NA,M,380
Sterling,John,NA,NA,NA,NA,M,381
Stevenson,Robert,Louis,NA,NA,NA,M,74
Swain,Charles,NA,NA,NA,NA,M,382
Swinburne,Algernon,Charles,NA,NA,NA,M,16
Symonds,John,Addington,NA,NA,NA,M,383
Symons,Arthur,NA,NA,NA,NA,M,31
Taylor,Henry,NA,NA,NA,Sir,M,161
Taylor,Tom,NA,NA,NA,NA,M,384
Tennyson,Alfred,NA,NA,NA,1st Baron,M,3
Tennyson,Frederick,NA,NA,NA,NA,M,162
Thackeray,William,Makepeace,NA,NA,NA,M,163
Thom,William,NA,NA,NA,NA,M,385
Thompson,Francis,NA,NA,NA,NA,M,77
Thomson,James,NA,NA,NA,NA,M,12
Thornbury,George,Walter,NA,NA,NA,M,386
Todhunter,John,NA,NA,NA,NA,M,164
Townshend,Chauncy,Hare,NA,NA,NA,M,387
Trench,Richard,Chenevix,NA,NA,NA,M,388
Turner,Charles,Tennyson,NA,NA,NA,M,165
Tyrwhitt,Richard,St. John,NA,NA,NA,M,389
Veitch,John,NA,NA,NA,NA,M,390
Veley,Margaret,NA,NA,NA,NA,F,391
Waddington,Samuel,NA,NA,NA,NA,M,392
Wade,Thomas,NA,NA,NA,NA,M,393
Walker,William,Sidney,NA,NA,NA,M,394
Waller,John,Francis,NA,NA,NA,M,395
Warren,John,Byrne,Leicester,NA,Baron de Tabley,M,396
Watson,Rosamund,Marriott,NA,NA,NA,F,166
Watson,William,NA,NA,NA,NA,M,167
Watts-Dunton,Theodore,NA,NA,NA,NA,M,397
Waugh,Edwin,NA,NA,NA,NA,M,398
Weatherly,Frederic,Edward,NA,NA,NA,M,399
Webster,Augusta,NA,NA,NA,NA,F,15
Weir,Arthur,NA,NA,NA,NA,M,400
Welch,Sarah,NA,NA,NA,NA,F,401
Weldon,Charles,NA,NA,NA,NA,M,402
Wells,Charles,Jeremiah,NA,NA,NA,M,403
Westwood,Thomas,NA,NA,NA,NA,M,404
Wetherald,Ethelwyn,NA,NA,NA,NA,F,405
White,Gleeson,NA,NA,NA,NA,M,406
Whitehead,Charles,NA,NA,NA,NA,M,168
Whitworth,William,Henry,NA,NA,NA,M,407
Wilberforce,Samuel,NA,NA,NA,NA,M,408
Wilde,Jane,Francesca,NA,NA,Lady,F,409
Wilde,Oscar,NA,NA,NA,NA,M,26
Williams,Sarah,NA,NA,NA,NA,F,410
Wills,William,Gorman,NA,NA,NA,M,411
Woods,James,Chapman,NA,NA,NA,M,412
Woods,Margaret,L.,NA,NA,NA,F,413
Woolner,Thomas,NA,NA,NA,NA,M,414
Wordsworth,Christopher,NA,NA,NA,NA,M,415
Wratislaw,Theodore,NA,NA,NA,NA,M,416
Yeats,William,Butler,NA,NA,NA,M,417
